selection_method,requested_corner_claw_um,requested_corner_ground_um,requested_corner_cross_um,used_corner_claw_um,used_corner_ground_um,used_corner_cross_um,fraction,training_percent,n_samples,seed,surrogate_reference_model_path,surrogate_training_mode,combined_reference_model_path,inverse_reference_model_path,saved_surrogate_model_path,saved_combined_model_path,saved_inverse_model_path,surrogate_dense_units,inverse_dense_units,surrogate_optimizer,surrogate_learning_rate,surrogate_reconstruction_loss,surrogate_jit_compile,surrogate_epochs_run,surrogate_batch_size,surrogate_early_stopping_patience,inverse_optimizer,inverse_learning_rate,inverse_reconstruction_loss,range_penalty_weight,inverse_jit_compile,inverse_epochs_run,inverse_batch_size,inverse_early_stopping_patience,subset_to_test_nn_distance_min,subset_to_test_nn_distance_median,subset_to_test_nn_distance_max,surrogate_train_omega_q_mean_pct,surrogate_train_alpha_mean_pct,surrogate_train_mean_hamiltonian_pct,surrogate_val_omega_q_mean_pct,surrogate_val_alpha_mean_pct,surrogate_val_mean_hamiltonian_pct,surrogate_test_omega_q_mean_pct,surrogate_test_alpha_mean_pct,surrogate_test_mean_hamiltonian_pct,train_omega_q_mean_pct,train_alpha_mean_pct,train_mean_hamiltonian_pct,val_omega_q_mean_pct,val_alpha_mean_pct,val_mean_hamiltonian_pct,test_omega_q_mean_pct,test_alpha_mean_pct,test_mean_hamiltonian_pct,test_qiskit_scaled_min,test_qiskit_scaled_max,test_qiskit_range_violation_mean,test_qiskit_range_violation_max
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.1,10.0,135,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,70,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,103,128,60,0.8656822359908626,0.8741270571483767,0.9711650080807196,10.804023888191535,235.5735532777067,123.18878858294912,16.84007112057874,77.02454961974072,46.93231037015973,17.451793831292193,76.53405956527168,46.99292669828193,27.195105047034808,6.435954393343571,16.815529720189186,13.685044892235387,1.7776464692038254,7.731345680719607,14.408443670288724,1.6596409764173552,8.03404232335304,0.2960051894187927,0.7427206635475159,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.2,20.0,270,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,66,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,134,128,60,0.8523197126498249,0.8656822359908626,0.9711650080807196,43.677269714639166,58.233298519653175,50.955284117146164,31.455511031394696,178.8120924798811,105.13380175563792,32.95768987056055,180.0821907475359,106.51994030904821,1.3705366578933207,2.354116473713993,1.8623265658036567,0.409187267360674,0.9334267578174348,0.6713070125890545,0.3898465505187489,0.9102260074375771,0.6500362789781631,0.1006743386387825,1.0637096166610718,0.003393865190446377,0.06370961666107178
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.3,30.0,406,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,64,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8479992354991301,0.856618399134557,0.9711650080807196,59.62340816375687,167.36079377064002,113.49210096719845,17.9458265858547,40.12784669816155,29.036836642008126,19.238931639418208,40.35633951889187,29.797635579155042,36.32503751859289,10.69949826077413,23.512267889683507,33.834078117989364,6.484390445930564,20.159234281959964,34.959961578726364,6.838252013136539,20.899106795931452,-0.07263842225074768,0.48852548003196716,0.020838001742959023,0.07263842225074768
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.4,40.0,541,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,64,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,320,128,60,0.847457627118644,0.8523197126498249,0.9711650080807196,67.51551220926133,177.67819371436246,122.59685296181188,25.208642383574052,389.06198565120326,207.13531401738862,26.793022165434895,394.08531506127395,210.4391686133544,0.1302285131030669,90.05760976107713,45.0939191370901,0.08807140492509095,93.03913803895628,46.563604721940685,0.08315543511944422,95.4074073549434,47.74528139503142,-0.059080950915813446,1.4125186204910278,0.1312171071767807,0.41251862049102783
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.5,50.0,676,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,63,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,230,128,60,0.7014912308982475,0.8496219890891173,0.9711650080807196,31.289720233782596,123.49979953846099,77.39475988612179,13.099032437942853,47.67469188727755,30.386862162610196,13.379445027731663,49.56376887189507,31.471606949813363,0.13520958203136266,0.31371642056042426,0.22446300129589347,0.13818515151275843,0.20234270875547916,0.1702639301341188,0.13149005913856568,0.21468790060328444,0.1730889798709251,-0.08037189394235611,0.699565589427948,0.01956113986670971,0.08037189394235611
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.6,60.0,811,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,73,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.6955756495286627,0.8479992354991301,0.9711650080807196,1.5776115760774965,14.680730329792418,8.129170952934958,27.266857484525815,68.60746408192513,47.937160783225465,27.80007301837691,71.65750302324196,49.72878802080943,0.12164467613878764,0.82808702147896,0.4748658488088739,0.07437463790370512,0.7441811955106703,0.4092779167071877,0.0806287818498598,0.7669253317057589,0.42377705677780936,0.31066998839378357,0.9839051961898804,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.7,70.0,946,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,69,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.6949152542372881,0.8479992354991301,0.9711650080807196,3.9117543565267154,21.085602658885648,12.498678507706181,22.779657817152515,63.79986133856959,43.28975957786106,22.611625421813795,64.35376275973321,43.482694090773506,0.21667989772162594,0.7576231088245322,0.48715150327307905,0.1925575219931547,0.8540590276189253,0.52330827480604,0.2203303494405193,0.8340171406845872,0.5271737450625532,-0.0373765230178833,0.8078083395957947,0.0010535928886383772,0.0373765230178833
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.8,80.0,1082,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,177,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.1818181818181818,0.847457627118644,0.9711650080807196,1.4719865420961984,4.889615253051991,3.1808008975740947,0.9237016495072063,3.979362313111988,2.4515319813095973,0.9466487140098492,4.043193512139288,2.494921113074568,0.21771907633247106,0.7380512042781847,0.4778851403053279,0.17374699786451442,0.5573640664797703,0.3655555321721423,0.1684651354166877,0.568597877174805,0.3685315062957463,-0.0106084905564785,1.0420867204666138,0.0005926532903686166,0.04208672046661377
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.9,90.0,1217,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,278,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,319,128,60,0.09090909090909088,0.7366104788368062,0.9711650080807196,2.9335840280113152,7.698764351593737,5.316174189802525,0.6023136019515768,1.6060544075149399,1.1041840047332585,0.5928477018265568,1.6318652847694368,1.1123564932979966,0.0861056558363967,0.5201468031677443,0.3031262295020705,0.07994281223998728,0.5452079572370648,0.3125753847385261,0.07900487231332784,0.552037182808941,0.3155210275611344,0.008821405470371246,0.9420790672302246,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,1.0,100.0,1352,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,308,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.030303030303030276,0.7014912308982475,0.9711650080807196,1.1039956485666242,2.323734598232226,1.7138651233994249,0.47722599373540053,1.6923751299392926,1.0848005618373466,0.47323931173506106,1.6587987026525453,1.0660190071938032,0.10444342471353787,0.8229936749958129,0.46371854985467537,0.09783540660785091,0.9889470653732234,0.5433912359905372,0.0966543458624936,0.9897913936773496,0.5432228697699215,-0.009625429287552834,0.9929370880126953,3.162614302709699e-05,0.009625429287552834
