selection_method,requested_corner_claw_um,requested_corner_ground_um,requested_corner_cross_um,used_corner_claw_um,used_corner_ground_um,used_corner_cross_um,fraction,training_percent,n_samples,seed,surrogate_reference_model_path,surrogate_training_mode,combined_reference_model_path,inverse_reference_model_path,saved_surrogate_model_path,saved_combined_model_path,saved_inverse_model_path,surrogate_dense_units,inverse_dense_units,surrogate_optimizer,surrogate_learning_rate,surrogate_dropout_rate,surrogate_l2_reg,surrogate_use_batchnorm,surrogate_reconstruction_loss,surrogate_tuner_trials,surrogate_tuner_best_val_loss,surrogate_tuner_best_epoch,surrogate_jit_compile,surrogate_batch_size,surrogate_early_stopping_patience,inverse_optimizer,inverse_learning_rate,inverse_n_layers,inverse_dropout_rate,inverse_l2_reg,inverse_use_batchnorm,inverse_reconstruction_loss,range_penalty_weight,inverse_tuner_trials,inverse_tuner_best_val_loss,inverse_tuner_best_epoch,inverse_jit_compile,inverse_batch_size,inverse_early_stopping_patience,subset_to_test_nn_distance_min,subset_to_test_nn_distance_median,subset_to_test_nn_distance_max,surrogate_train_omega_q_mean_pct,surrogate_train_alpha_mean_pct,surrogate_train_mean_hamiltonian_pct,surrogate_val_omega_q_mean_pct,surrogate_val_alpha_mean_pct,surrogate_val_mean_hamiltonian_pct,surrogate_test_omega_q_mean_pct,surrogate_test_alpha_mean_pct,surrogate_test_mean_hamiltonian_pct,train_omega_q_mean_pct,train_alpha_mean_pct,train_mean_hamiltonian_pct,val_omega_q_mean_pct,val_alpha_mean_pct,val_mean_hamiltonian_pct,test_omega_q_mean_pct,test_alpha_mean_pct,test_mean_hamiltonian_pct,test_qiskit_scaled_min,test_qiskit_scaled_max,test_qiskit_range_violation_mean,test_qiskit_range_violation_max
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.1,10.0,135,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed3_inverse.keras,[224],[320],Adam,0.1,0.25,4.460702038423074e-05,True,mae,50,0.0141168292611837,342,False,128,60,Adam,0.0270380060224934,1,0.15,1e-06,True,mae,1.0,50,0.0113862808793783,86,False,128,60,0.8656822359908626,0.8757013948690047,0.9711650080807196,1.4745574374650203,2.0773646869971367,1.7759610622310786,1.2848489322961312,3.243806513672724,2.264327722984427,1.1684948826395194,3.277249304217695,2.222872093428608,4.795981059681271,9.498400208239232,7.147190633960252,1.0237912481715967,3.749115211779381,2.386453229975489,0.9006983801727858,3.403057863813192,2.151878121992989,-0.065432883799076,0.962519347667694,0.001204052590765,0.065432883799076
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.2,20.0,270,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed3_inverse.keras,[32],[192],Adam,0.1,0.05,2.593723958974596e-05,True,mae,50,0.0082417828962206,253,False,128,60,Adam,0.0088090443480729,1,0.0,1e-06,False,mae,0.6705471632267371,50,0.0034364077728241,152,False,128,60,0.8523197126498249,0.8656822359908626,0.9711650080807196,2.0976610010739,5.68135369620216,3.8895073486380287,0.9820042720661544,2.065092146027833,1.5235482090469936,1.0286709595116907,2.1864453382689475,1.6075581488903192,1.243385904101319,2.3201159081934457,1.7817509061473826,0.4308055808857423,0.7060346820327619,0.5684201314592522,0.3725881417224923,0.7036543658155194,0.5381212537690059,0.0183571502566337,0.9928111433982848,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.3,30.0,406,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed3_inverse.keras,[32],[64],Adam,0.0445139787927289,0.35,0.0013893220316778,True,mae,50,0.0072641288861632,351,False,128,60,Adam,0.1,1,0.0,1e-06,False,mae,0.2014392469336214,50,0.0021934653632342,48,False,128,60,0.8479992354991301,0.856618399134557,0.9711650080807196,0.5190884487651745,1.293646534544412,0.9063674916547932,0.8347882775964888,1.7946476690816997,1.314717973339094,0.8028027402489202,1.681184789912148,1.2419937650805335,0.4628075540873898,1.1355452872588665,0.799176420673128,0.2976668609480102,0.4933615760057879,0.3955142184768991,0.2904308036826836,0.4633519985848899,0.3768914011337867,0.1850190609693527,0.9993010759353638,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.4,40.0,541,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed3_inverse.keras,[512],[64],Adam,0.0328268582982322,0.15,1.6308979287756596e-05,True,mae,50,0.006427985150367,309,False,128,60,Adam,0.0113566254692047,1,0.0,1e-06,False,mae,0.4461065957534032,50,0.0011984937591478,184,False,128,60,0.847457627118644,0.8523197126498249,0.9711650080807196,1.3951318906476975,2.9752720330155977,2.1852019618316474,0.6676119329672863,1.425024147903743,1.0463180404355146,0.6746900852986524,1.4400480045601147,1.0573690449293838,0.2216427522462124,0.4761398163174875,0.34889128428185,0.1355314671153335,0.3020071412917064,0.2187693042035199,0.1408630146774408,0.2921623292474142,0.2165126719624275,0.1338633745908737,0.9919723868370056,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.5,50.0,676,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed3_inverse.keras,[480],[64],Adam,0.0496802619672701,0.15,0.0006805406997504,False,mae,50,0.0092622209340333,174,False,128,60,Adam,0.0143779263499451,1,0.0,1e-06,False,mae,0.2491871728758141,50,0.0015222509391605,104,False,128,60,0.7014912308982475,0.8496219890891173,0.9711650080807196,0.6824723501241322,1.555841717861333,1.1191570339927326,0.7733797787201497,1.3080397701564372,1.0407097744382936,0.6793176559374557,1.2036743911428145,0.9414960235401352,0.1961060813939197,0.5454487585540964,0.370777419974008,0.1449903812470145,0.3860457792562995,0.265518080251657,0.1344135493261866,0.3683804256389402,0.2513969874825634,0.2339170426130294,1.006385087966919,4.370761598693207e-05,0.0063850879669189
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.6,60.0,811,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed3_inverse.keras,[64],[128],Adam,0.0483182889714799,0.25,0.0020991202531994,True,mae,50,0.0114390365779399,130,False,128,60,Adam,0.0295435151216709,1,0.05,1e-06,True,mae,0.3178586466125124,50,0.0027385903522372,249,False,128,60,0.6955756495286627,0.8479992354991301,0.9711650080807196,5.883258469708939,15.314154472520404,10.59870647111467,1.1918067218729531,2.6870598556754697,1.9394332887742112,1.2037378712591829,2.6663994702800973,1.93506867076964,0.5703362829225032,1.0081616846323076,0.7892489837774055,0.360679419200311,0.5925542677208606,0.4766168434605859,0.3418372779947705,0.5451595776303743,0.4434984278125724,0.0763807147741317,0.9988168478012084,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.7,70.0,946,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed3_inverse.keras,[1024],[64],Adam,0.0334924449698129,0.3,0.0008408628021588,False,mae,50,0.0114646144211292,108,False,128,60,Adam,0.0087789936449084,1,0.0,1e-06,True,mae,1.0,50,0.003276347182691,194,False,128,60,0.6949152542372881,0.8479992354991301,0.9711650080807196,1.8791340997924648,3.1684314383739967,2.52378276908323,0.7651749174532815,1.4305959824203098,1.0978854499367956,0.707560503059537,1.4132912285132888,1.060425865786413,0.2920272559745648,1.2194993450398086,0.7557633005071867,0.2720650189995509,1.349041754878402,0.8105533869389764,0.2639743163225891,1.377395617394385,0.820684966858487,0.0124161690473556,1.0171242952346802,0.0001595302892383,0.0171242952346801
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.8,80.0,1082,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed3_inverse.keras,[928],[320],Adam,0.03479223292518881,0.15000000000000002,0.0003013727531478473,False,mae,50,0.004687762353569269,294,False,128,60,Adam,0.021795313477104054,1,0.2,1e-06,False,mae,0.1405983022715181,50,0.0010583954863250256,132,False,128,60,0.18181818181818188,0.847457627118644,0.9711650080807196,0.4007969538139568,0.9156092313060256,0.6582030925599911,0.38849095912347736,0.8748274275667185,0.6316591933450979,0.40599947053311974,0.8594745718870779,0.6327370212100989,0.15537378688237877,0.20531802953413555,0.18034590820825716,0.09011367983178686,0.14273216873996125,0.11642292428587406,0.08331472771100126,0.1538697423174289,0.11859223501421508,0.28770047426223755,1.000032901763916,3.7688160148263705e-08,3.2901763916015625e-05
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,0.9,90.0,1217,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed3_inverse.keras,[768],[64],Adam,0.03,0.1,0.000452266407597057,False,mae,50,0.0031228719744831324,375,False,128,60,Adam,0.03758652534795541,1,0.0,1e-06,False,mae,0.13007069492011566,50,0.0006300798268057406,143,False,128,60,0.08570991287109668,0.7415801957283918,0.9711650080807196,0.22185248671899765,0.4877357387959607,0.35479411275747924,0.2216855644635881,0.4413264366895863,0.3315060005765872,0.24344886465850715,0.44041410960295374,0.3419314871307304,0.0907375050546033,0.20784771071052763,0.14929260788256546,0.06331276426164055,0.17687458361082287,0.12009367393623172,0.0590508575385253,0.16572435367796856,0.11238760560824694,0.09026364982128143,1.0060112476348877,4.4432566937757656e-05,0.006011247634887695
corner_test_far_to_near_by_test_geometry_nn_distance_keras_tuner,50.0,2.0,420.0,70.0,4.1,420.0,1.0,100.0,1352,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,keras_tuner_retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed3_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed3_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed3_inverse.keras,[672],[64],Adam,0.03076299139775022,0.1,0.0001998775236478483,False,mae,50,0.002545046154409647,354,False,128,60,Adam,0.04338361510079761,1,0.0,1e-06,False,mae,0.18703828029589947,50,0.0006324558053165674,135,False,128,60,0.030303030303030276,0.7014912308982475,0.9711650080807196,0.18686873682606006,0.4912191416554117,0.33904393924073584,0.19584412110234006,0.39113734789463594,0.293490734498488,0.21034968278865646,0.3997447539056506,0.30504721834715354,0.08914795301311189,0.23927635320331453,0.16421215310821322,0.06073875604395965,0.1816432052538972,0.12119098064892844,0.053640415656995004,0.1657290917765952,0.10968475371679508,0.34646230936050415,0.9991182088851929,0.0,0.0
