training_percent,n_samples,n_seeds,train_mean,train_std,val_mean,val_std,test_mean,test_std,dist_min,dist_median,dist_max
10.0,135,10,20.41613714773993,20.6113129084159,7.039911441730771,2.995251838919521,6.584539726109942,3.0161182260360806,0.8656822359908626,0.8757013948690047,0.9711650080807196
20.0,270,10,1.7499904431761526,1.0347947552525782,1.24111391737338,0.7958927274642812,1.1867786434240961,0.736064754193971,0.8523197126498248,0.8656822359908626,0.9711650080807196
30.0,406,10,1.3116766378276894,0.5607840949833843,0.9344865208724,0.4102220994156263,0.8859152920317337,0.36798351139904956,0.8479992354991301,0.856618399134557,0.9711650080807196
40.0,541,10,0.902397105472672,0.653015526410813,0.7457595734402508,0.6263367750902495,0.707175224079295,0.6036706460934933,0.8474576271186439,0.8523197126498248,0.9711650080807196
50.0,676,10,0.48571226471367934,0.13207275143232106,0.3355747120760898,0.1189592340564634,0.32082004792689395,0.11553861723287506,0.7014912308982475,0.8496219890891175,0.9711650080807196
60.0,811,10,3.1475231980717133,3.471498775359668,2.1160283926670425,2.4912159356865367,1.992373335861594,2.4431902460286556,0.6955756495286627,0.8479992354991301,0.9711650080807196
70.0,946,10,4.8842058906165375,5.32734892685347,3.0318976907735915,3.1972067912170274,2.905251422926726,3.016248565337057,0.6949152542372881,0.8479992354991301,0.9711650080807196
80.0,1082,10,0.35622518447200585,0.19164957525301585,0.2685062780555194,0.14779754158363834,0.2651197363723071,0.1560375856983984,0.1818181818181818,0.8474576271186439,0.9711650080807196
90.0,1217,10,0.18469448940922698,0.08402395951060669,0.13871470797308622,0.048166800416747584,0.130901326048995,0.03999061556113763,0.0857099128710966,0.7415801957283918,0.9711650080807196
100.0,1352,10,0.2344067148607038,0.09886052519904999,0.12105597213397642,0.009612978191558402,0.11240934113065248,0.010771458997380539,0.0303030303030302,0.7014912308982475,0.9711650080807196
