selection_method,requested_corner_claw_um,requested_corner_ground_um,requested_corner_cross_um,used_corner_claw_um,used_corner_ground_um,used_corner_cross_um,fraction,training_percent,n_samples,seed,surrogate_reference_model_path,surrogate_training_mode,combined_reference_model_path,inverse_reference_model_path,saved_surrogate_model_path,saved_combined_model_path,saved_inverse_model_path,surrogate_dense_units,inverse_dense_units,surrogate_optimizer,surrogate_learning_rate,surrogate_reconstruction_loss,surrogate_jit_compile,surrogate_epochs_run,surrogate_batch_size,surrogate_early_stopping_patience,inverse_optimizer,inverse_learning_rate,inverse_reconstruction_loss,range_penalty_weight,inverse_jit_compile,inverse_epochs_run,inverse_batch_size,inverse_early_stopping_patience,subset_to_test_nn_distance_min,subset_to_test_nn_distance_median,subset_to_test_nn_distance_max,surrogate_train_omega_q_mean_pct,surrogate_train_alpha_mean_pct,surrogate_train_mean_hamiltonian_pct,surrogate_val_omega_q_mean_pct,surrogate_val_alpha_mean_pct,surrogate_val_mean_hamiltonian_pct,surrogate_test_omega_q_mean_pct,surrogate_test_alpha_mean_pct,surrogate_test_mean_hamiltonian_pct,train_omega_q_mean_pct,train_alpha_mean_pct,train_mean_hamiltonian_pct,val_omega_q_mean_pct,val_alpha_mean_pct,val_mean_hamiltonian_pct,test_omega_q_mean_pct,test_alpha_mean_pct,test_mean_hamiltonian_pct,test_qiskit_scaled_min,test_qiskit_scaled_max,test_qiskit_range_violation_mean,test_qiskit_range_violation_max
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.1,10.0,135,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_010pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,72,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,105,128,60,0.8656822359908626,0.8757013948690047,0.9711650080807196,12.075000273733933,86.67599266379129,49.37549646876261,13.999101274945646,86.67976848784485,50.33943488139524,13.382850955523754,80.31637908723592,46.84961502137983,10.34628344618371,4.222582536037011,7.284432991110361,6.779136074680635,3.21445234939506,4.996794212037847,6.0660441759471135,3.2737021602782455,4.66987316811268,0.015504980459809303,1.133815050125122,0.02004033885896206,0.13381505012512207
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.2,20.0,270,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_020pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,66,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,171,128,60,0.8523197126498249,0.8656822359908626,0.9711650080807196,38.51067128735882,19.369707196881066,28.940189242119935,37.73620745582054,189.58765215753147,113.66192980667601,38.083618089623805,191.66883573771906,114.87622691367145,1.8420208489967664,2.55232612016011,2.197173484578438,0.4652990024740255,0.9377316686740637,0.7015153355740447,0.4604868916482423,0.8460274806270411,0.6532571861376417,0.30785706639289856,1.1592639684677124,0.012993402779102325,0.1592639684677124
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.3,30.0,406,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_030pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,64,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,243,128,60,0.8479992354991301,0.856618399134557,0.9711650080807196,89.09887045968436,200.52264586653286,144.81075816310863,89.91448028145454,45.23150536604732,67.57299282375094,90.37000953587209,43.0614231049036,66.71571632038784,3.8073753662462364,0.43208606065222754,2.1197307134492323,0.28497802406299866,0.29722836528828184,0.29110319467564016,0.20703327370738017,0.29993435085626285,0.2534838122818215,-0.0413333922624588,0.5149303674697876,0.011358407326042652,0.0413333922624588
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.4,40.0,541,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_040pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,64,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,192,128,60,0.847457627118644,0.8523197126498249,0.9711650080807196,72.47899981952588,48.848165720295256,60.66358276991058,24.848996469447513,144.62459067283288,84.7367935711402,23.47498155732024,147.22151480343598,85.34824818037812,0.14036621194049484,0.36979155621731524,0.255078884078905,0.1235008357918851,0.2496109522009742,0.1865558939964297,0.11586235435777409,0.2515433987038645,0.18370287653081932,-0.010790768079459667,1.0558151006698608,0.0033495458774268627,0.05581510066986084
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.5,50.0,676,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_050pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,63,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.7014912308982475,0.8496219890891173,0.9711650080807196,42.74643936562016,65.16434724498721,53.955393305303694,24.549118871423307,59.02629110561303,41.787704988518165,23.311889129904273,60.99171442271482,42.15180177630954,0.2115451921184157,0.6245619073843166,0.41805354975136616,0.15051735267480923,0.6413739757967253,0.3959456642357673,0.14950687749506666,0.5657262499015137,0.3576165636982902,-0.5463191270828247,0.7034837007522583,0.14685122668743134,0.5463191270828247
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.6,60.0,811,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_060pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,72,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,359,128,60,0.6955756495286627,0.8479992354991301,0.9711650080807196,3.6570798898447063,8.213520523301014,5.93530020657286,20.292289875499012,74.15261186921246,47.22245087235574,19.04062946908399,75.52487865243441,47.282754060759196,0.22358243039002634,0.616964654407574,0.4202735423988001,0.18854099283642067,0.6041849531444732,0.39636297299044687,0.2111741876274094,0.5868362630412349,0.3990052253343221,-0.245104119181633,0.5083911418914795,0.0848793312907219,0.245104119181633
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.7,70.0,946,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_070pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,70,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.6949152542372881,0.8479992354991301,0.9711650080807196,1.4602614681938755,10.020260049433606,5.740260758813742,12.605102622774151,52.649450086686,32.62727635473007,12.285367674010057,51.49317644204022,31.88927205802514,0.16457365110092592,1.053043309317957,0.6088084802094412,0.17498186861643766,1.1208660862863482,0.6479239774513929,0.18050643298430633,1.1134386640463083,0.6469725485153074,-0.06037170812487602,0.6197569966316223,0.004696535877883434,0.06037170812487602
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.8,80.0,1082,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_080pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,213,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.18181818181818188,0.847457627118644,0.9711650080807196,2.3093136851870875,3.2761369700127796,2.7927253275999333,1.2008955042181582,4.244768749401111,2.7228321268096343,1.1289484829688692,4.17948034949183,2.6542144162303494,0.28230264452836185,0.22174460120959916,0.25202362286898056,0.03938970368627381,0.17936564957453519,0.1093776766304045,0.03364221433949683,0.1822093801886557,0.10792579726407625,0.14461219310760498,0.9674243927001953,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.9,90.0,1217,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_090pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,219,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.08570991287109668,0.7415801957283918,0.9711650080807196,0.5965043169364804,1.3805382690117094,0.9885212929740949,0.765852531435625,1.667767067727538,1.2168097995815816,0.8316883610227872,1.7296434245711347,1.280665892796961,0.06490969816352289,0.17882594964513962,0.12186782390433125,0.03845957622310394,0.13144105818870624,0.0849503172059051,0.04022151759819283,0.1219382197599827,0.08107986867908777,0.021704690530896187,0.9857943058013916,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_retrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,1.0,100.0,1352,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,retrained_on_same_subset_as_inverse,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed0_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed0_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_retrained_surrogate/fraction_100pct_seed0_inverse.keras,"[736, 2]","[64, 3]",Adam,0.05013880506157875,mae,True,195,128,60,Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.030303030303030276,0.7014912308982475,0.9711650080807196,0.7191628125222734,1.1887465766555905,0.9539546945889321,0.6251921594701897,1.2780920587849929,0.9516421091275912,0.6767631943811118,1.231007277244804,0.9538852358129578,0.09036686527157134,0.26803439312060545,0.17920062919608842,0.0912818453136471,0.29109101432743334,0.19118642982054024,0.09368178180878234,0.2606143142332862,0.17714804802103426,-0.022510020062327385,1.0043193101882935,0.0017613789532333612,0.022510020062327385
