training_percent,n_samples,train_mean,train_std,val_mean,val_std,test_mean,test_std,dist_min,dist_median,dist_max
10.0,135,7.147190633960252,,2.386453229975489,,2.151878121992989,,0.8656822359908626,0.8757013948690047,0.9711650080807196
20.0,270,1.7817509061473826,,0.5684201314592522,,0.5381212537690059,,0.8523197126498249,0.8656822359908626,0.9711650080807196
30.0,406,0.799176420673128,,0.3955142184768991,,0.3768914011337867,,0.8479992354991301,0.856618399134557,0.9711650080807196
40.0,541,0.34889128428185,,0.2187693042035199,,0.2165126719624275,,0.847457627118644,0.8523197126498249,0.9711650080807196
50.0,676,0.370777419974008,,0.265518080251657,,0.2513969874825634,,0.7014912308982475,0.8496219890891173,0.9711650080807196
60.0,811,0.7892489837774055,,0.4766168434605859,,0.4434984278125724,,0.6955756495286627,0.8479992354991301,0.9711650080807196
70.0,946,0.7557633005071867,,0.8105533869389764,,0.820684966858487,,0.6949152542372881,0.8479992354991301,0.9711650080807196
80.0,1082,0.18034590820825716,,0.11642292428587406,,0.11859223501421508,,0.18181818181818188,0.847457627118644,0.9711650080807196
90.0,1217,0.14929260788256546,,0.12009367393623172,,0.11238760560824694,,0.08570991287109668,0.7415801957283918,0.9711650080807196
100.0,1352,0.16421215310821322,,0.12119098064892844,,0.10968475371679508,,0.030303030303030276,0.7014912308982475,0.9711650080807196
