fraction,n_samples,seed,train_mae,val_mae,test_mae,best_epoch
0.05,67,0,0.008696102537214756,0.010907723568379879,0.011537563987076283,400
0.05,67,1,0.010018564760684967,0.014044297859072685,0.015173085033893585,400
0.05,67,2,0.005471625830978155,0.005764896050095558,0.007048092782497406,391
0.1,135,0,0.002907906658947468,0.003690523561090231,0.005219890736043453,389
0.1,135,1,0.008648631162941456,0.008423702791333199,0.009658892638981342,400
0.1,135,2,0.007835187949240208,0.0046183145605027676,0.0054188990034163,397
0.2,270,0,0.0011907536536455154,0.0017574571538716555,0.0021767900325357914,398
0.2,270,1,0.0015187975950539112,0.0016069296980276704,0.0016806566854938865,400
0.2,270,2,0.001182515174150467,0.001135185593739152,0.0012320165988057852,393
0.3,405,0,0.0019432195695117116,0.0019405477214604616,0.0019650061149150133,395
0.3,405,1,0.0018221327336505055,0.0019526652758941054,0.0029439318459481,400
0.3,405,2,0.0016371802194043994,0.0019300703424960375,0.0018126328941434622,397
0.5,676,0,0.001215556520037353,0.0015184066724032164,0.0013250581687316298,400
0.5,676,1,0.0013076174072921276,0.0014538124669343233,0.0016315591055899858,394
0.5,676,2,0.0011485599679872394,0.0011771083809435368,0.0014445895794779062,388
0.7,947,0,0.0017223318573087454,0.0018605117220431566,0.002072600880637765,382
0.7,947,1,0.00166083755902946,0.0016932652797549963,0.0019144273828715086,388
0.7,947,2,0.0009639268391765654,0.0009627395193092525,0.0009493561228737235,375
1.0,1353,0,0.0010861600749194622,0.0011553659569472075,0.001100598950870335,399
1.0,1353,1,0.001709647593088448,0.0016208417946472764,0.0019074969459325075,398
1.0,1353,2,0.0011536037782207131,0.0012114266864955425,0.0011644975747913122,395
