training_percent,n_samples,train_mean,train_std,val_mean,val_std,test_mean,test_std
10.0,135,0.8291271727105486,,0.8296059908048371,,0.8436957289560248,
20.0,270,0.9044788978920132,,0.8951248996177128,,1.5918685958579246,
30.0,406,0.3708164125785985,,0.3818731684680205,,0.44697203957499043,
40.0,541,0.2817682318124884,,0.2772033884953975,,0.29310781176098033,
50.0,676,0.21058595968436905,,0.20829724688712895,,0.2191883544873427,
60.0,811,0.42638547024129125,,0.3694136284513261,,0.4520333553088872,
70.0,946,0.3982385245172487,,0.4060806764463668,,0.40492893897915605,
80.0,1082,0.14552455887314192,,0.14761619122076305,,0.13947240323158777,
90.0,1217,0.16095363294215898,,0.17095805360137858,,0.1657797821746218,
100.0,1352,0.19412526849438527,,0.1937803558515547,,0.18054164068054193,
