training_percent,n_samples,train_mean,train_std,val_mean,val_std,test_mean,test_std
10.0,135,0.7238348936630862,,0.7852717788035006,,0.7271693280768224,
20.0,270,0.47162251226247404,,0.49722059723792256,,0.4907216658362308,
30.0,406,0.26166973985789144,,0.2835234423263573,,0.3002336367381245,
40.0,541,0.2446370683231565,,0.24562652722906334,,0.2392419522393768,
50.0,676,0.3068010526416177,,0.3089974000367471,,0.31004449086546415,
60.0,811,0.4036984418686593,,0.4374238986614483,,0.39551292390235643,
70.0,946,0.3808217696796712,,0.3983925602670734,,0.3755163129593827,
80.0,1082,0.46129877944628633,,0.4827564184595922,,0.473501479059888,
90.0,1217,0.19730743792232927,,0.20411487957487762,,0.19035173336807382,
100.0,1352,0.49260408130920796,,0.5153957980455137,,0.47915122664659354,
