benchmark,device,batch_number,mean_total_seconds,std_total_seconds,mean_time_per_sample_seconds,std_time_per_sample_seconds,repeats,mean_time_per_sample_ms,std_time_per_sample_ms
surrogate-only,CPU,1,0.0022011498641222715,3.086585383994402e-05,0.0022011498641222715,3.086585383994402e-05,50,2.2011498641222715,0.030865853839944016
surrogate-only,CPU,2,0.00221494366414845,3.02023970140699e-05,0.001107471832074225,1.510119850703495e-05,50,1.107471832074225,0.01510119850703495
surrogate-only,CPU,4,0.0022226506937295196,3.371149889346896e-05,0.0005556626734323799,8.42787472336724e-06,50,0.55566267343238,0.00842787472336724
surrogate-only,CPU,8,0.0022350325714796783,2.8648867984558486e-05,0.0002793790714349598,3.5811084980698108e-06,50,0.27937907143495977,0.0035811084980698106
surrogate-only,CPU,16,0.0022507376689463853,5.056959154894452e-05,0.00014067110430914908,3.1605994718090327e-06,50,0.1406711043091491,0.003160599471809033
surrogate-only,CPU,32,0.002288658730685711,2.8525465496983233e-05,7.152058533392847e-05,8.91420796780726e-07,50,0.07152058533392847,0.000891420796780726
surrogate-only,CPU,64,0.0023850910458713768,4.315614858999765e-05,3.726704759174026e-05,6.743148217187133e-07,50,0.037267047591740265,0.0006743148217187133
surrogate-only,CPU,128,0.0025407669227570295,2.9334884949318483e-05,1.9849741584039293e-05,2.2917878866655065e-07,50,0.019849741584039293,0.00022917878866655065
surrogate-only,CPU,256,0.002667678724974394,2.7562324669202182e-05,1.0420620019431227e-05,1.0766533073907103e-07,50,0.010420620019431226,0.00010766533073907103
surrogate-only,CPU,512,0.0025935629568994045,5.058443878001473e-05,5.0655526501941495e-06,9.879773199221627e-08,50,0.0050655526501941495,9.879773199221627e-05
surrogate-only,CPU,1024,0.0027508832700550555,4.0515246445617014e-05,2.68640944341314e-06,3.9565670357047865e-08,50,0.0026864094434131403,3.9565670357047865e-05
surrogate-only,CPU,2048,0.00305021733045578,0.000203810783199581,1.4893639308866113e-06,9.951698398417041e-08,50,0.0014893639308866113,9.95169839841704e-05
surrogate-only,GPU,1,0.002416308941319585,2.8384086348869256e-05,0.002416308941319585,2.8384086348869256e-05,50,2.416308941319585,0.028384086348869256
surrogate-only,GPU,2,0.0024136276450008156,2.5486190539455897e-05,0.0012068138225004078,1.2743095269727948e-05,50,1.2068138225004077,0.012743095269727948
surrogate-only,GPU,4,0.0024153078719973565,2.598313453939695e-05,0.0006038269679993391,6.495783634849237e-06,50,0.6038269679993391,0.006495783634849237
surrogate-only,GPU,8,0.002409473052248359,2.2042564332055736e-05,0.00030118413153104487,2.755320541506967e-06,50,0.30118413153104484,0.0027553205415069668
surrogate-only,GPU,16,0.0024223035294562577,4.6046146721246744e-05,0.0001513939705910161,2.8778841700779215e-06,50,0.1513939705910161,0.0028778841700779216
surrogate-only,GPU,32,0.0024165118299424647,3.0705814902730695e-05,7.551599468570202e-05,9.595567157103342e-07,50,0.07551599468570203,0.0009595567157103342
surrogate-only,GPU,64,0.0024101202841848137,1.9350436906188124e-05,3.7658129440387714e-05,3.0235057665918944e-07,50,0.03765812944038771,0.0003023505766591894
surrogate-only,GPU,128,0.0024220356065779926,2.69439968995464e-05,1.8922153176390567e-05,2.1049997577770624e-07,50,0.018922153176390566,0.00021049997577770623
surrogate-only,GPU,256,0.002427420960739255,2.2455182730316587e-05,9.482113127887715e-06,8.771555754029917e-08,50,0.009482113127887715,8.771555754029916e-05
surrogate-only,GPU,512,0.002425231756642461,2.4189323559743155e-05,4.736780774692306e-06,4.724477257762335e-08,50,0.004736780774692306,4.7244772577623346e-05
surrogate-only,GPU,1024,0.002437668228521943,2.881388341871824e-05,2.38053537941596e-06,2.8138558026092032e-08,50,0.00238053537941596,2.8138558026092034e-05
surrogate-only,GPU,2048,0.0024330294132232665,2.1900890480724467e-05,1.1880026431754231e-06,1.0693794180041244e-08,50,0.0011880026431754231,1.0693794180041243e-05
