benchmark,device,batch_number,mean_total_seconds,std_total_seconds,mean_time_per_sample_seconds,std_time_per_sample_seconds,repeats,mean_time_per_sample_ms,std_time_per_sample_ms,ansys_seconds_per_sample,speedup_ratio_from_ansys_time_per_sample,percent_speedup_from_ansys_time_per_sample
surrogate-only,CPU,1,0.0020871256396640093,4.2600027687107556e-05,0.0020871256396640093,4.2600027687107556e-05,50,2.087125639664009,0.04260002768710756,120.0,57495.34082639984,5749434.082639984
surrogate-only,CPU,2,0.0021292650606483223,4.6545504333527356e-05,0.0010646325303241611,2.3272752166763678e-05,50,1.064632530324161,0.023272752166763677,120.0,112714.94772328834,11271394.772328833
surrogate-only,CPU,4,0.002238060919335112,0.0002053329449925021,0.000559515229833778,5.1333236248125525e-05,50,0.559515229833778,0.051333236248125524,120.0,214471.37379200538,21447037.379200537
surrogate-only,CPU,8,0.0021323940181173385,6.021018183286554e-05,0.0002665492522646673,7.526272729108192e-06,50,0.2665492522646673,0.007526272729108192,120.0,450198.2240822317,45019722.40822317
surrogate-only,CPU,16,0.00210795511957258,6.308805620645864e-05,0.00013174719497328625,3.943003512903665e-06,50,0.13174719497328624,0.003943003512903665,120.0,910835.3314416434,91083433.14416434
surrogate-only,CPU,32,0.002082823433447629,7.658839274700956e-05,6.508823229523841e-05,2.393387273344049e-06,50,0.06508823229523841,0.0023933872733440486,120.0,1843651.2372264673,184365023.72264674
surrogate-only,CPU,64,0.0021617497212719173,0.00012126635410711346,3.377733939487371e-05,1.8947867829236479e-06,50,0.03377733939487371,0.0018947867829236479,120.0,3552677.687165972,355267668.7165972
surrogate-only,CPU,128,0.002131293200654909,5.4333841869881644e-05,1.6650728130116478e-05,4.2448313960845035e-07,50,0.016650728130116477,0.00042448313960845036,120.0,7206892.038730354,720689103.8730354
surrogate-only,CPU,256,0.004124362204456702,0.0002736462281482865,1.6110789861158992e-05,1.0689305787042442e-06,50,0.01611078986115899,0.001068930578704244,120.0,7448424.381060566,744842338.1060566
surrogate-only,CPU,512,0.005541760361520574,0.0012850868906884073,1.082375070609487e-05,2.5099353333757955e-06,50,0.01082375070609487,0.0025099353333757957,120.0,11086729.846099265,1108672884.6099265
surrogate-only,CPU,1024,0.004440759940771386,0.000536597060433406,4.336679629659557e-06,5.24020566829498e-07,50,0.004336679629659557,0.000524020566829498,120.0,27670939.57766495,2767093857.7664948
surrogate-only,CPU,2048,0.0059374752850271766,0.000995057255946014,2.899157854017176e-06,4.858678007548897e-07,50,0.002899157854017176,0.0004858678007548897,120.0,41391330.18704854,4139132918.704854
surrogate-only,GPU,1,0.0025315674825105816,0.0001876729942217897,0.0025315674825105816,0.0001876729942217897,50,2.5315674825105816,0.1876729942217897,120.0,47401.462070051064,4740046.207005107
surrogate-only,GPU,2,0.00243107442278415,7.801901923467163e-05,0.001215537211392075,3.900950961733582e-05,50,1.2155372113920748,0.03900950961733582,120.0,98721.7823324157,9872078.233241571
surrogate-only,GPU,4,0.002494858920108527,8.226211010313353e-05,0.0006237147300271318,2.056552752578338e-05,50,0.6237147300271317,0.020565527525783382,120.0,192395.6485600075,19239464.85600075
surrogate-only,GPU,8,0.002501418419415131,0.00010135829224258384,0.0003126773024268914,1.266978653032298e-05,50,0.3126773024268914,0.01266978653032298,120.0,383782.25431971607,38378125.43197161
surrogate-only,GPU,16,0.0025669854995794593,0.00011355183667396877,0.0001604365937237162,7.096989792123048e-06,50,0.16043659372371621,0.0070969897921230474,120.0,747959.0361202068,74795803.61202069
surrogate-only,GPU,32,0.0025152973609510808,8.88016393900657e-05,7.860304252972127e-05,2.7750512309395533e-06,50,0.07860304252972128,0.0027750512309395532,120.0,1526658.4617844247,152665746.17844248
surrogate-only,GPU,64,0.00243728753994219,8.208361687532414e-05,3.808261781159672e-05,1.2825565136769398e-06,50,0.03808261781159672,0.0012825565136769398,120.0,3151043.885524546,315104288.5524546
surrogate-only,GPU,128,0.0024743424425832925,9.184718268963634e-05,1.9330800332681973e-05,7.175561147627839e-07,50,0.019330800332681974,0.000717556114762784,120.0,6207709.868955596,620770886.8955597
surrogate-only,GPU,256,0.002490143235772848,0.00010815301558368891,9.727122014737688e-06,4.224727171237848e-07,50,0.009727122014737688,0.0004224727171237848,120.0,12336639.739707844,1233663873.9707844
surrogate-only,GPU,512,0.002422844257671386,6.840648298410801e-05,4.732117690764426e-06,1.3360641207833596e-07,50,0.004732117690764426,0.00013360641207833595,120.0,25358625.427723717,2535862442.772372
surrogate-only,GPU,1024,0.002545429664896801,0.0001327306351207182,2.485771157125782e-06,1.2961976086007638e-07,50,0.0024857711571257823,0.00012961976086007637,120.0,48274757.57613672,4827475657.613672
surrogate-only,GPU,2048,0.0024888024211395534,6.452691286028778e-05,1.2152355571970475e-06,3.150728167006239e-08,50,0.0012152355571970475,3.150728167006239e-05,120.0,98746287.73764746,9874628673.764746
