neurons_per_layer,depth,width,total_params,inverse_trainable_params,surrogate_non_trainable_params,combined_total_params,best_val_loss,best_epoch
"(16,)",1,16,99,99,4418,4517,0.002854257356375456,388
"(32,)",1,32,195,195,4418,4613,0.003715544706210494,399
"(64,)",1,64,387,387,4418,4805,0.004786762874573469,383
"(128,)",1,128,771,771,4418,5189,0.00906437635421753,395
"(256,)",1,256,1539,1539,4418,5957,0.013849399983882904,387
"(512,)",1,512,3075,3075,4418,7493,0.025662632659077644,400
"(16, 16)",2,16,371,371,4418,4789,0.0025792091619223356,400
"(32, 32)",2,32,1251,1251,4418,5669,0.004202228970825672,397
"(64, 64)",2,64,4547,4547,4418,8965,0.005316574592143297,396
"(128, 128)",2,128,17283,17283,4418,21701,0.009506857953965664,389
"(256, 256)",2,256,67331,67331,4418,71749,0.014915941283106804,397
"(512, 512)",2,512,265731,265731,4418,270149,0.015489316545426846,398
"(16, 16, 16)",3,16,643,643,4418,5061,0.004290357232093811,386
"(32, 32, 32)",3,32,2307,2307,4418,6725,0.004657986108213663,398
"(64, 64, 64)",3,64,8707,8707,4418,13125,0.006000650115311146,394
"(128, 128, 128)",3,128,33795,33795,4418,38213,0.00965027417987585,390
"(256, 256, 256)",3,256,133123,133123,4418,137541,0.013470903970301151,395
"(512, 512, 512)",3,512,528387,528387,4418,532805,0.015068436041474342,398
"(16, 16, 16, 16)",4,16,915,915,4418,5333,0.004270578268915415,373
"(32, 32, 32, 32)",4,32,3363,3363,4418,7781,0.004759595729410648,380
"(64, 64, 64, 64)",4,64,12867,12867,4418,17285,0.00838345754891634,397
"(128, 128, 128, 128)",4,128,50307,50307,4418,54725,0.01103315968066454,391
"(256, 256, 256, 256)",4,256,198915,198915,4418,203333,0.013560752384364605,386
"(512, 512, 512, 512)",4,512,791043,791043,4418,795461,0.01317910198122263,389
"(16, 16, 16, 16, 16)",5,16,1187,1187,4418,5605,0.004345372784882784,383
"(32, 32, 32, 32, 32)",5,32,4419,4419,4418,8837,0.006171301007270813,384
"(64, 64, 64, 64, 64)",5,64,17027,17027,4418,21445,0.00843354407697916,400
"(128, 128, 128, 128, 128)",5,128,66819,66819,4418,71237,0.011531629599630833,399
"(256, 256, 256, 256, 256)",5,256,264707,264707,4418,269125,0.01404871791601181,398
"(512, 512, 512, 512, 512)",5,512,1053699,1053699,4418,1058117,0.012958159670233727,393
