neurons_per_layer,depth,width,is_uniform_width,total_params,inverse_trainable_params,surrogate_non_trainable_params,combined_total_params,best_val_loss,best_epoch,dropout_rate,l2_reg,learning_rate,use_batchnorm,penalty_weight,kernel_initializer,source,saved_model_path,val_reconstruction_loss,val_penalty_loss
"(64,)",1,64,True,387,387,4418,4805,0.0009971056133508682,,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,saved_best_inverse_model,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_inverse_model_surrogate_defined_loss.keras,0.0008593883248977363,4.433820777194342e-06
"(128,)",1,128,True,771,771,4418,5189,0.0023771687410771847,240.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(256,)",1,256,True,1539,1539,4418,5957,0.0036251991987228394,265.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(512,)",1,512,True,3075,3075,4418,7493,0.005753082223236561,309.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(64, 64)",2,64,True,4547,4547,4418,8965,0.004646874498575926,161.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(128, 128)",2,128,True,17283,17283,4418,21701,0.012501509860157967,383.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(256, 256)",2,256,True,67331,67331,4418,71749,0.018806342035531998,392.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(512, 512)",2,512,True,265731,265731,4418,270149,0.04635034501552582,399.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(64, 64, 64)",3,64,True,8707,8707,4418,13125,0.007970168255269527,327.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(128, 128, 128)",3,128,True,33795,33795,4418,38213,0.020725715905427933,331.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(256, 256, 256)",3,256,True,133123,133123,4418,137541,0.040347520262002945,399.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(512, 512, 512)",3,512,True,528387,528387,4418,532805,0.4143070876598358,400.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(64, 64, 64, 64)",4,64,True,12867,12867,4418,17285,0.012701635248959064,222.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(128, 128, 128, 128)",4,128,True,50307,50307,4418,54725,0.025909818708896637,398.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(256, 256, 256, 256)",4,256,True,198915,198915,4418,203333,0.2299216240644455,399.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
"(512, 512, 512, 512)",4,512,True,791043,791043,4418,795461,0.9757871627807617,133.0,0.0,2.0896818289947515e-05,0.04839181885665593,False,0.1,he_normal,retrained_sweep,,,
