neurons_per_layer,depth,width,is_uniform_width,total_params,inverse_trainable_params,surrogate_non_trainable_params,combined_total_params,best_val_loss,best_epoch,dropout_rate,l2_reg,learning_rate,use_batchnorm,penalty_weight,kernel_initializer,source,saved_model_path,matched_trial_path,val_reconstruction_loss,val_penalty_loss
"(16,)",1,16,True,99,99,4418,4517,0.001369985518977046,92.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32,)",1,32,True,195,195,4418,4613,0.0015241861110553145,115.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(64,)",1,64,True,387,387,4418,4805,0.0010692718205973506,,0.0,1e-06,0.1,False,1.0,lecun_uniform,saved_best_inverse_model,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/kt_dir2/transmon_cross_surrogate_loss2/trial_0180/trial.json,0.0010001452174037695,0.0
"(128,)",1,128,True,771,771,4418,5189,0.0013927031541243196,129.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(256,)",1,256,True,1539,1539,4418,5957,0.0011788898846134543,193.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(512,)",1,512,True,3075,3075,4418,7493,0.0016484017251059413,152.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(16, 16)",2,16,True,371,371,4418,4789,0.001188646419905126,230.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32, 32)",2,32,True,1251,1251,4418,5669,0.0012124365894123912,200.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(64, 64)",2,64,True,4547,4547,4418,8965,0.0022696126252412796,156.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(128, 128)",2,128,True,17283,17283,4418,21701,0.004790535196661949,140.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(256, 256)",2,256,True,67331,67331,4418,71749,0.012157591059803963,174.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(512, 512)",2,512,True,265731,265731,4418,270149,0.04829562455415726,143.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(16, 16, 16)",3,16,True,643,643,4418,5061,0.001188353169709444,165.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32, 32, 32)",3,32,True,2307,2307,4418,6725,0.0013966617407277226,312.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(64, 64, 64)",3,64,True,8707,8707,4418,13125,0.002781461924314499,107.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(128, 128, 128)",3,128,True,33795,33795,4418,38213,0.008410364389419556,195.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(256, 256, 256)",3,256,True,133123,133123,4418,137541,0.03204984962940216,178.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(512, 512, 512)",3,512,True,528387,528387,4418,532805,0.262164831161499,151.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(16, 16, 16, 16)",4,16,True,915,915,4418,5333,0.0014289913233369589,150.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32, 32, 32, 32)",4,32,True,3363,3363,4418,7781,0.002525589894503355,139.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(64, 64, 64, 64)",4,64,True,12867,12867,4418,17285,0.005015502218157053,151.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(128, 128, 128, 128)",4,128,True,50307,50307,4418,54725,0.01612905040383339,109.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(256, 256, 256, 256)",4,256,True,198915,198915,4418,203333,0.0704835057258606,253.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(512, 512, 512, 512)",4,512,True,791043,791043,4418,795461,0.9054182171821594,211.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
