sample_number,sigma_multiplier,sigma_for_gauss,test_set_index_as_gauss_mean,design_options.connection_pads.readout.claw_length,design_options.connection_pads.readout.ground_spacing,design_options.cross_length,surrogate_pred_qubit_frequency_GHz,surrogate_pred_anharmonicity_MHz,target_qubit_frequency_GHz,target_anharmonicity_MHz
1,-2,40,97,0.000310928,1.86403e-06,0.000260233,4.43467,-184.093,3.7608,-124.143
2,-1.78947,40,97,0.00029083,2.19413e-06,0.000265472,4.35196,-175.653,3.7608,-124.143
3,-1.57895,40,97,0.000270733,2.52424e-06,0.00027071,4.27139,-167.783,3.7608,-124.143
4,-1.36842,40,97,0.000250635,2.85434e-06,0.000275949,4.19078,-159.912,3.7608,-124.143
5,-1.15789,40,97,0.000230537,3.18444e-06,0.000281188,4.10963,-152.016,3.7608,-124.143
6,-0.947368,40,97,0.00021044,3.51454e-06,0.000286426,4.02848,-144.121,3.7608,-124.143
7,-0.736842,40,97,0.000190342,3.84464e-06,0.000291665,3.96126,-138.273,3.7608,-124.143
8,-0.526316,40,97,0.000170244,4.17475e-06,0.000296903,3.90395,-134.242,3.7608,-124.143
9,-0.315789,40,97,0.000150147,4.50485e-06,0.000302142,3.84696,-130.222,3.7608,-124.143
10,-0.105263,40,97,0.000130049,4.83495e-06,0.000307381,3.78998,-126.202,3.7608,-124.143
11,0.105263,40,97,0.000109951,5.16505e-06,0.000312619,3.733,-122.182,3.7608,-124.143
12,0.315789,40,97,8.98535e-05,5.49515e-06,0.000317858,3.7035,-120.135,3.7608,-124.143
13,0.526316,40,97,6.97558e-05,5.82525e-06,0.000323097,3.67615,-118.242,3.7608,-124.143
14,0.736842,40,97,4.96581e-05,6.15536e-06,0.000328335,3.64881,-116.362,3.7608,-124.143
15,0.947368,40,97,2.95604e-05,6.48546e-06,0.000333574,3.62147,-114.488,3.7608,-124.143
16,1.15789,40,97,9.46267e-06,6.81556e-06,0.000338812,3.59414,-112.615,3.7608,-124.143
17,1.36842,40,97,-1.0635e-05,7.14566e-06,0.000344051,3.5668,-110.741,3.7608,-124.143
18,1.57895,40,97,-3.07327e-05,7.47576e-06,0.00034929,3.53947,-108.867,3.7608,-124.143
19,1.78947,40,97,-5.08304e-05,7.80587e-06,0.000354528,3.51213,-106.994,3.7608,-124.143
20,2,40,97,-7.09281e-05,8.13597e-06,0.000359767,3.4848,-105.12,3.7608,-124.143
